species,country,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Indonesia,2016,7.92,7.92,10.0,10.0,10.0,7.75,7.75,7.75,7.75,7.83,84.67
Arabica,Costa Rica,2015,8.08,7.92,10.0,10.0,10.0,7.92,7.5,7.83,7.67,7.75,84.67
Arabica,Guatemala,2015,7.75,7.83,10.0,10.0,10.0,7.75,7.92,8.0,7.58,7.83,84.67
Arabica,Costa Rica,2014,8.17,7.92,10.0,10.0,10.0,7.75,7.83,7.17,7.83,8.0,84.67
Arabica,Ethiopia,2014,8.08,7.92,10.0,10.0,10.0,7.67,7.58,7.83,7.75,7.83,84.67
Arabica,Costa Rica,2014,7.67,7.67,10.0,10.0,10.0,8.58,7.67,7.75,7.75,7.58,84.67
Arabica,Costa Rica,2014,8.0,8.0,10.0,10.0,10.0,7.75,7.75,7.75,7.83,7.58,84.67
Arabica,Costa Rica,2012,8.08,7.92,9.33,10.0,10.0,8.0,7.92,7.83,7.75,7.83,84.67
Arabica,Taiwan,2013,8.0,7.75,10.0,10.0,10.0,7.75,7.75,7.75,7.75,7.92,84.67
Arabica,Colombia,2013,7.75,7.92,10.0,10.0,10.0,7.83,7.75,7.83,7.75,7.83,84.67
Arabica,Kenya,2012,7.75,7.83,10.0,10.0,10.0,7.75,7.58,8.0,7.83,7.92,84.67
Arabica,Guatemala,2012,8.0,7.67,10.0,10.0,10.0,8.0,7.67,7.83,7.67,7.83,84.67
Arabica,Guatemala,2012,7.67,8.0,10.0,10.0,10.0,7.83,7.67,8.0,7.67,7.83,84.67
Arabica,Mexico,2012,7.83,7.92,10.0,10.0,10.0,7.83,7.92,7.92,7.67,7.58,84.67
Arabica,Uganda,2012,7.92,7.83,10.0,10.0,10.0,7.75,7.67,7.92,7.75,7.83,84.67
Arabica,Ethiopia,2010,7.42,7.83,10.0,10.0,10.0,7.92,8.0,8.0,7.75,7.75,84.67
Arabica,Colombia,2016,7.83,8.08,10.0,10.0,10.0,7.83,7.67,7.92,7.58,7.67,84.58
Arabica,Colombia,2016,7.92,7.75,10.0,10.0,10.0,7.67,7.83,8.0,7.58,7.83,84.58
Arabica,Kenya,2013,7.83,7.92,10.0,10.0,10.0,7.83,7.58,7.75,7.83,7.83,84.58
Arabica,Guatemala,2014,7.75,7.83,10.0,10.0,10.0,7.83,7.75,7.92,7.67,7.83,84.58
Arabica,Guatemala,2014,8.0,8.17,10.0,10.0,10.0,7.67,7.58,7.58,7.67,7.92,84.58
Arabica,Colombia,2013,7.67,7.83,10.0,10.0,10.0,8.5,7.58,7.75,7.58,7.67,84.58
Arabica,Colombia,2013,7.75,7.92,10.0,10.0,10.0,8.0,7.58,7.75,7.83,7.75,84.58
Arabica,Kenya,2013,7.75,7.75,10.0,10.0,10.0,7.75,7.75,8.08,7.75,7.75,84.58
Arabica,Colombia,2012,7.67,7.75,10.0,10.0,10.0,7.92,7.58,8.0,7.83,7.83,84.58
Arabica,Costa Rica,2012,7.75,7.75,10.0,10.0,10.0,7.67,7.83,8.0,7.75,7.83,84.58
Arabica,Colombia,2012,7.42,8.08,10.0,10.0,10.0,7.83,8.08,7.75,7.75,7.67,84.58
Arabica,Brazil,2011,8.0,7.75,10.0,10.0,10.0,7.75,7.58,7.75,7.75,8.0,84.58
Arabica,Brazil,2011,8.5,7.5,10.0,10.0,10.0,7.83,7.5,7.75,7.5,8.0,84.58
Arabica,Costa Rica,2017,7.92,8.0,10.0,10.0,10.0,7.58,7.67,7.75,7.92,7.67,84.5
Arabica,Uganda,2016,7.92,7.83,10.0,10.0,10.0,7.75,7.83,7.75,7.67,7.75,84.5
Arabica,China,2015,7.75,7.92,10.0,10.0,10.0,7.67,7.75,7.83,7.67,7.92,84.5
Arabica,Costa Rica,2014,7.92,7.92,10.0,10.0,10.0,7.58,7.58,7.83,7.83,7.83,84.5
Arabica,Colombia,2016,8.08,7.75,10.0,10.0,10.0,7.67,7.67,7.83,7.83,7.67,84.5
Arabica,China,2013,7.67,7.92,10.0,10.0,10.0,7.58,7.75,7.83,7.75,8.0,84.5
Arabica,Guatemala,2013,8.17,7.5,10.0,10.0,10.0,7.83,7.67,7.83,7.67,7.83,84.5
Arabica,Kenya,2012,7.92,7.67,10.0,10.0,10.0,7.75,7.67,8.0,7.67,7.83,84.5
Arabica,Mexico,2012,8.0,7.92,10.0,10.0,10.0,7.67,7.5,8.08,7.42,7.92,84.5
Arabica,Mexico,2012,7.92,7.67,10.0,10.0,10.0,7.83,7.75,7.75,7.75,7.83,84.5
Arabica,Guatemala,2012,7.67,7.83,10.0,10.0,10.0,7.83,7.5,8.0,7.67,8.0,84.5
Arabica,Costa Rica,2016,7.58,7.92,10.0,10.0,10.0,7.58,7.67,8.0,7.83,7.83,84.42
Arabica,Indonesia,2017,7.67,8.0,10.0,10.0,10.0,7.83,7.83,7.58,7.83,7.67,84.42
Arabica,Colombia,2016,7.92,7.67,10.0,10.0,10.0,7.67,7.92,7.67,7.75,7.83,84.42
Arabica,Colombia,2014,7.92,7.75,10.0,10.0,10.0,7.75,7.67,7.92,7.67,7.75,84.42
Arabica,Taiwan,2012,7.83,7.75,10.0,10.0,10.0,7.75,7.5,8.0,7.75,7.83,84.42
Arabica,United States (Hawaii),2012,7.92,7.83,10.0,10.0,10.0,7.92,7.5,7.83,7.5,7.92,84.42
Arabica,Mexico,2012,7.75,7.83,10.0,10.0,10.0,7.67,7.83,7.67,7.75,7.92,84.42
Arabica,Ethiopia,2010,7.5,7.75,10.0,10.0,10.0,7.75,7.92,7.92,7.83,7.75,84.42
Arabica,Kenya,2017,7.33,8.17,10.0,10.0,10.0,7.92,7.75,7.75,7.83,7.58,84.33
Arabica,Honduras,2016,7.92,7.58,10.0,10.0,10.0,7.75,7.67,7.67,7.75,8.0,84.33
Arabica,Colombia,2016,7.58,7.5,10.0,10.0,10.0,8.5,7.67,7.83,7.5,7.75,84.33
Arabica,Honduras,2016,7.58,7.83,10.0,10.0,10.0,7.75,7.92,7.75,7.58,7.92,84.33
Arabica,Colombia,2016,7.67,7.83,10.0,10.0,10.0,7.83,7.75,7.83,7.75,7.67,84.33
Arabica,Colombia,2015,7.75,7.33,10.0,10.0,10.0,7.83,8.08,7.67,8.0,7.67,84.33
Arabica,Colombia,2013,7.75,8.17,10.0,10.0,10.0,8.08,7.58,7.83,7.33,7.58,84.33
Arabica,Mexico,2012,8.0,7.83,10.0,10.0,10.0,7.67,7.5,7.83,7.75,7.75,84.33
Arabica,Brazil,2011,8.17,7.75,10.0,10.0,10.0,7.67,7.5,7.75,7.5,8.0,84.33
Arabica,Brazil,2011,8.0,7.92,10.0,10.0,10.0,7.75,7.67,7.5,7.5,8.0,84.33
Arabica,Guatemala,2010,7.5,7.92,10.0,10.0,10.0,7.92,7.92,7.67,7.75,7.67,84.33
Arabica,Taiwan,2016,7.92,7.67,10.0,10.0,10.0,7.83,7.67,7.67,7.75,7.75,84.25
Arabica,Thailand,2015,7.83,8.0,10.0,10.0,10.0,7.67,7.83,7.42,7.75,7.75,84.25
Arabica,Colombia,2016,7.83,7.83,10.0,10.0,10.0,8.0,7.67,7.58,7.75,7.58,84.25
Arabica,Guatemala,2016,7.75,7.75,10.0,10.0,10.0,7.75,7.75,7.92,7.58,7.75,84.25
Arabica,Guatemala,2015,7.75,7.75,10.0,10.0,10.0,7.67,7.58,8.08,7.5,7.92,84.25
Arabica,China,2015,7.83,7.75,10.0,10.0,10.0,7.75,7.75,7.75,7.58,7.83,84.25
Arabica,Colombia,2015,7.67,7.83,10.0,10.0,10.0,7.92,7.67,7.75,7.75,7.67,84.25
Arabica,Colombia,2015,7.83,7.75,10.0,10.0,10.0,7.75,7.92,7.58,7.75,7.67,84.25
Arabica,Colombia,2016,7.83,7.83,10.0,10.0,10.0,7.75,7.67,7.58,7.83,7.75,84.25
Arabica,Colombia,2015,7.42,7.83,10.0,10.0,10.0,7.83,7.92,7.75,7.83,7.67,84.25
Arabica,Tanzania,2014,7.83,7.83,10.0,10.0,10.0,7.67,7.67,7.83,7.75,7.67,84.25
Arabica,Tanzania,2014,7.83,7.75,10.0,10.0,10.0,7.75,7.67,7.75,7.75,7.75,84.25
Arabica,Guatemala,2014,7.83,7.83,10.0,10.0,10.0,7.75,7.58,7.92,7.5,7.83,84.25
Arabica,Colombia,2013,7.58,7.83,10.0,10.0,10.0,7.83,7.92,7.83,7.75,7.5,84.25
Arabica,United States (Hawaii),2012,7.33,7.83,9.33,10.0,10.0,8.08,7.92,7.92,7.92,7.92,84.25
Arabica,Mexico,2012,7.83,7.75,10.0,10.0,10.0,7.75,7.5,7.83,7.67,7.92,84.25
Arabica,Mexico,2012,7.83,7.75,10.0,10.0,10.0,7.58,7.83,7.67,7.75,7.83,84.25
Arabica,Mexico,2012,7.83,7.83,10.0,10.0,10.0,7.75,7.5,7.75,7.67,7.92,84.25
Arabica,Uganda,2012,8.17,7.67,10.0,10.0,10.0,7.58,7.83,7.67,7.58,7.75,84.25
Arabica,Guatemala,2017,7.75,7.75,10.0,10.0,10.0,7.75,7.67,7.83,7.58,7.83,84.17
Arabica,Colombia,2016,7.83,7.75,10.0,10.0,10.0,7.83,7.75,7.67,7.58,7.75,84.17
Arabica,Costa Rica,2016,7.92,8.0,10.0,10.0,10.0,7.67,7.5,7.67,7.67,7.75,84.17
Arabica,Guatemala,2016,7.75,7.58,10.0,10.0,10.0,7.83,7.67,8.0,7.58,7.75,84.17
Arabica,Guatemala,2016,7.75,7.67,10.0,10.0,10.0,7.67,7.67,7.92,7.58,7.92,84.17
Arabica,Guatemala,2016,7.58,7.83,10.0,10.0,10.0,7.67,7.83,7.83,7.58,7.83,84.17
Arabica,Colombia,2015,8.0,7.67,10.0,10.0,10.0,7.83,8.0,7.67,7.5,7.5,84.17
Arabica,Nicaragua,2015,7.67,7.83,10.0,10.0,10.0,7.83,7.67,7.5,7.83,7.83,84.17
Arabica,Brazil,2015,7.67,7.75,10.0,10.0,10.0,7.75,7.83,7.67,7.75,7.75,84.17
Arabica,Costa Rica,2014,7.67,7.83,10.0,10.0,10.0,8.0,7.5,7.75,7.67,7.75,84.17
Arabica,Ethiopia,2014,7.5,7.75,10.0,10.0,10.0,7.83,7.75,7.83,7.58,7.92,84.17
Arabica,Tanzania,2014,7.92,7.67,10.0,10.0,10.0,7.58,7.75,7.75,7.75,7.75,84.17
Arabica,Colombia,2015,7.67,7.5,10.0,10.0,10.0,8.58,7.83,7.42,7.67,7.5,84.17
Arabica,Guatemala,2013,7.67,7.83,10.0,10.0,10.0,7.75,7.75,7.75,7.67,7.75,84.17
Arabica,Kenya,2013,7.58,7.75,10.0,10.0,10.0,7.83,7.75,7.75,7.75,7.75,84.17
Arabica,Brazil,2012,7.58,7.67,10.0,10.0,10.0,8.0,7.67,7.67,7.75,7.83,84.17
Arabica,Guatemala,2013,7.92,7.42,10.0,10.0,10.0,7.92,7.83,7.67,7.67,7.75,84.17
Arabica,El Salvador,2013,8.42,7.92,10.0,10.0,9.33,8.17,7.58,7.17,7.5,8.08,84.17
Arabica,Colombia,2012,7.75,7.58,10.0,10.0,10.0,7.75,7.83,7.75,7.75,7.75,84.17
Arabica,Guatemala,2012,7.83,7.67,10.0,10.0,10.0,7.83,7.83,8.0,7.5,7.5,84.17
Arabica,Uganda,2012,7.83,7.67,10.0,10.0,10.0,7.75,7.83,7.83,7.5,7.75,84.17
Arabica,Indonesia,2017,7.81,7.75,10.0,10.0,10.0,7.75,7.63,7.75,7.56,7.88,84.13
Arabica,Colombia,2017,7.83,7.5,10.0,10.0,10.0,8.5,7.83,7.5,7.42,7.5,84.08
Arabica,Taiwan,2016,7.58,7.92,10.0,10.0,10.0,7.83,7.75,7.67,7.67,7.67,84.08
Arabica,Guatemala,2016,8.0,7.67,10.0,10.0,10.0,7.67,7.92,7.58,7.5,7.75,84.08
Arabica,Colombia,2014,7.92,7.67,10.0,10.0,10.0,7.67,7.67,7.75,7.67,7.75,84.08
Arabica,Guatemala,2014,7.58,7.67,10.0,10.0,10.0,7.67,7.75,8.0,7.67,7.75,84.08
Arabica,United States (Hawaii),2012,7.83,8.0,10.0,10.0,9.33,8.08,7.42,7.83,7.83,7.75,84.08
Arabica,Mexico,2012,7.67,7.83,10.0,10.0,10.0,7.75,7.67,7.75,7.67,7.75,84.08
Arabica,Ethiopia,2012,7.92,7.92,8.67,10.0,10.0,7.92,7.92,8.0,7.83,7.92,84.08
Arabica,Costa Rica,2017,7.58,7.67,10.0,10.0,10.0,7.75,7.83,7.75,7.67,7.75,84.0
Arabica,Ethiopia,2017,7.83,7.92,10.0,10.0,10.0,7.75,7.33,7.75,7.67,7.75,84.0
Arabica,Honduras,2017,7.42,7.75,10.0,10.0,10.0,7.58,7.75,7.92,7.75,7.83,84.0
Arabica,Guatemala,2015,7.67,7.58,10.0,10.0,10.0,7.67,7.75,7.92,7.58,7.83,84.0
Arabica,Colombia,2015,7.67,7.83,10.0,10.0,10.0,7.83,7.58,7.58,7.83,7.67,84.0
Arabica,Guatemala,2014,7.92,7.5,10.0,10.0,10.0,7.83,7.75,7.92,7.42,7.67,84.0
Arabica,Guatemala,2014,7.75,7.83,10.0,10.0,10.0,7.67,7.58,7.83,7.5,7.83,84.0
Arabica,Colombia,2014,7.67,7.83,10.0,10.0,10.0,7.75,7.67,7.67,7.67,7.75,84.0
Arabica,Colombia,2014,7.58,7.67,10.0,10.0,10.0,7.92,7.75,7.92,7.75,7.42,84.0
Arabica,Colombia,2014,7.67,8.33,10.0,10.0,10.0,7.67,7.67,7.5,7.5,7.67,84.0
Arabica,Ethiopia,2013,7.75,7.83,10.0,10.0,10.0,7.92,7.67,7.58,7.5,7.75,84.0
Arabica,Brazil,2013,7.58,7.92,10.0,10.0,10.0,7.75,8.0,7.25,7.67,7.83,84.0
