species,country,region,company,harvest_year,aroma,cupper_points,sweetness,clean_cup,uniformity,balance,body,acidity,aftertaste,flavor,total_cup_points
Arabica,Costa Rica,west valley,the coffee source inc.,2014,7.92,8,9.33,10,10,8.08,8,7.92,8,8.08,85.33
Arabica,Costa Rica,san ramon,the coffee source inc.,2014,8,7.92,10,10,10,8.5,8.08,7.67,7.58,7.58,85.33
Arabica,Kenya,central kenya,rashid moledina & co. (msa) ltd,2012,7.83,7.92,10,10,10,7.75,7.92,8.08,7.75,8.08,85.33
Arabica,Kenya,central kenya,ibero kenya limited,2012,8,7.83,10,10,10,7.75,7.83,8.08,7.92,7.92,85.33
Arabica,Ethiopia,yirgacheffe,,2010,7.83,8.08,10,10,10,7.83,7.75,8.08,7.92,7.83,85.33
Arabica,Ethiopia,yirgacheffe,,2010,7.92,8,10,10,10,7.75,7.75,8.33,7.75,7.83,85.33
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2016,8,7.83,10,10,10,7.83,7.92,8,7.75,7.92,85.25
Arabica,Colombia,santander,exportadora de cafe condor s.a,2015,8.17,7.92,10,10,10,7.83,7.58,8,7.83,7.92,85.25
Arabica,Colombia,santander,ecom cca sa,2014,7.58,7.92,10,10,10,7.92,8,7.83,7.92,8.08,85.25
Arabica,Indonesia,lintong,"nomura trading co., ltd.",2012,7.75,8,10,10,10,7.83,8.08,8,7.67,7.83,85.17
Arabica,Guatemala,huehuetenango,the coffee source inc.,2012,8.25,7.92,10,10,10,7.67,7.75,7.92,7.67,8,85.17
Arabica,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",seid damtew coffee planation,2016,7.75,7.83,10,10,10,7.92,8,8,7.58,8,85.08
Arabica,Colombia,pasto,carcafe ltda,2015,8.17,7.67,10,10,10,7.75,8,8.08,7.58,7.83,85.08
Arabica,Ethiopia,aricha,the specialty coffee appraisers institute of asia,2014,8.42,8.08,10,10,9.33,7.92,7.92,8,7.42,8,85.08
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2014,7.58,7.92,10,10,10,8.17,7.83,7.92,7.83,7.83,85.08
Arabica,Colombia,cundinamarca,carcafe ltda,2012,7.83,8.08,10,10,10,7.83,7.83,7.75,7.75,8,85.08
Arabica,United States (Hawaii),kona,,2011,8.08,8.17,10,9.33,9.33,8,8.08,8,7.92,8.17,85.08
Arabica,Ethiopia,sidamo,,2010,7.67,7.83,10,10,10,7.83,7.92,8,7.83,8,85.08
Arabica,Uganda,eastern uganda,kyagalanyi coffee ltd,2016,8.17,8,10,10,10,7.75,7.67,7.75,7.75,7.92,85
Arabica,Colombia,huila,racafe & cia s.c.a,2016,8,7.83,10,10,10,7.83,7.75,7.92,7.75,7.92,85
Arabica,Costa Rica,tarrazu,bold coast coffee,2016,7.83,7.92,10,10,10,7.83,7.92,7.92,7.58,8,85
Arabica,Mexico,veracruz,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",2015,7.83,8.08,10,10,10,7.83,7.67,7.75,7.83,8,85
Arabica,Kenya,,c dorman ltd,2015,8.17,7.83,10,10,10,7.83,7.67,7.75,7.92,7.83,85
Arabica,Kenya,central kenya,rashid moledina & co. (msa) ltd,2012,7.75,7.83,10,10,10,7.75,8,8.08,7.75,7.83,85
Arabica,Brazil,grama valley,nucoffee,2012,8,8,10,10,10,7.67,7.67,7.83,7.83,8,85
Arabica,Mexico,mexico,,2011,7.92,7.83,10,10,10,7.83,7.42,8.08,7.75,8.17,85
Arabica,Guatemala,"chuva, san marcos",,2010,7.83,8,10,10,10,7.67,7.75,8,7.67,8.08,85
Arabica,Colombia,huila,racafe & cia s.c.a,2016,7.92,7.83,10,10,10,7.83,7.92,7.83,7.67,7.92,84.92
Arabica,Colombia,huila,racafe & cia s.c.a,2015,7.92,7.83,10,10,10,8,7.75,7.83,7.75,7.83,84.92
Arabica,Taiwan,natou county,taiwan coffee laboratory,2015,7.67,7.92,10,10,10,7.92,8,7.58,8,7.83,84.92
Arabica,Tanzania,mbeya,taylor winch (t) ltd,2014,8,7.83,10,10,10,7.75,7.75,7.92,7.83,7.83,84.92
Arabica,Colombia,huila,racafe & cia s.c.a,2012,7.75,7.92,10,10,10,8,7.75,7.75,7.83,7.92,84.92
Arabica,Mexico,coatepec,,2012,7.75,8.17,10,10,10,7.92,7.5,7.83,7.75,8,84.92
Arabica,Brazil,south of minas,nucoffee,2011,8,7.75,10,10,10,7.75,8,7.75,7.75,7.92,84.92
Arabica,Brazil,south of minas,nucoffee,2011,8,7.92,10,10,10,7.75,7.5,8,7.75,8,84.92
Arabica,Kenya,,,2010,8,7.58,10,10,10,7.75,7.92,8.17,7.83,7.67,84.92
Arabica,Taiwan,"dongshan dist., tainan city 臺南市東山區",taiwan coffee laboratory,2016,7.92,8,10,10,10,7.83,7.83,7.83,7.83,7.58,84.83
Arabica,Uganda,eastern,kawacom uganda ltd,2013,7.75,7.83,10,10,10,7.75,8.25,7.67,7.67,7.92,84.83
Arabica,United States (Hawaii),kona,kona pacific farmers cooperative,2012,7.67,8.08,10,10,10,8,7.83,7.75,7.75,7.75,84.83
Arabica,Ethiopia,sidamo,,2010,7.75,8,10,10,10,7.67,7.75,7.92,7.83,7.92,84.83
Arabica,Ethiopia,sidamo,,2010,7.42,7.92,10,10,10,7.83,7.83,8,7.92,7.92,84.83
Arabica,Thailand,thailand,matsuzawa coffee,2015,7.75,8,10,10,10,7.75,8,7.75,7.75,7.75,84.75
Arabica,Kenya,nyeri,c dorman ltd,2014,7.92,7.92,10,10,10,7.83,7.75,7.92,7.58,7.83,84.75
Arabica,Honduras,marcala,cadexsa,2014,7.83,8.17,10,10,10,7.67,7.67,7.67,8,7.75,84.75
Arabica,El Salvador,santa ana,,2011,7.75,7.75,9.33,10,10,7.92,7.67,8.33,8,8,84.75
Arabica,Nicaragua,jinotega,,2010,7.83,8.5,10,10,10,7.67,7.75,7.83,7.58,7.58,84.75
Arabica,El Salvador,apaneca,cafetalera del pacifico,2016,7.83,8,10,10,10,7.67,7.83,8,7.5,7.83,84.67
Arabica,Indonesia,"temanggung, indonesia",pt. shriya artha nusantara,2016,7.92,7.92,10,10,10,7.75,7.75,7.75,7.75,7.83,84.67
Arabica,Costa Rica,tarrazu,panamerican coffee trading,2015,8.08,7.92,10,10,10,7.92,7.5,7.83,7.67,7.75,84.67
Arabica,Guatemala,acatenango,"waelti schoenfeld exportadores de cafe, s.a.",2015,7.75,7.83,10,10,10,7.75,7.92,8,7.58,7.83,84.67
Arabica,Costa Rica,tarrazu,coopetarrazú.r.l,2014,8.17,7.92,10,10,10,7.75,7.83,7.17,7.83,8,84.67
Arabica,Ethiopia,yirgacheffe,essence coffee,2014,8.08,7.92,10,10,10,7.67,7.58,7.83,7.75,7.83,84.67
Arabica,Costa Rica,costa rica,essence coffee,2014,7.67,7.67,10,10,10,8.58,7.67,7.75,7.75,7.58,84.67
Arabica,Costa Rica,west valley,coricafe s.a.,2014,8,8,10,10,10,7.75,7.75,7.75,7.83,7.58,84.67
Arabica,Costa Rica,,thrive farmers,2012,8.08,7.92,9.33,10,10,8,7.92,7.83,7.75,7.83,84.67
Arabica,Taiwan,taichung xinshe 台中市新社區,blossom valley宸嶧國際,2013,8,7.75,10,10,10,7.75,7.75,7.75,7.75,7.92,84.67
Arabica,Colombia,santander,ecom cca sa,2013,7.75,7.92,10,10,10,7.83,7.75,7.83,7.75,7.83,84.67
Arabica,Kenya,nyeri,dream together inc.,2012,7.75,7.83,10,10,10,7.75,7.58,8,7.83,7.92,84.67
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2012,8,7.67,10,10,10,8,7.67,7.83,7.67,7.83,84.67
Arabica,Guatemala,acatenango,sertrasa,2012,7.67,8,10,10,10,7.83,7.67,8,7.67,7.83,84.67
Arabica,Mexico,el remudadero,organizaciones de productores de cafe colimense sa de cv,2012,7.83,7.92,10,10,10,7.83,7.92,7.92,7.67,7.58,84.67
Arabica,Uganda,mbale,ugacof ltd,2012,7.92,7.83,10,10,10,7.75,7.67,7.92,7.75,7.83,84.67
Arabica,Ethiopia,sidamo,,2010,7.42,7.83,10,10,10,7.92,8,8,7.75,7.75,84.67
Arabica,Colombia,santander,racafe & cia s.c.a,2016,7.83,8.08,10,10,10,7.83,7.67,7.92,7.58,7.67,84.58
Arabica,Colombia,huila,racafe & cia s.c.a,2016,7.92,7.75,10,10,10,7.67,7.83,8,7.58,7.83,84.58
Arabica,Kenya,nyeri,c dorman ltd,2013,7.83,7.92,10,10,10,7.83,7.58,7.75,7.83,7.83,84.58
Arabica,Guatemala,jalapa,"armajaro guatemala, s. a.",2014,7.75,7.83,10,10,10,7.83,7.75,7.92,7.67,7.83,84.58
Arabica,Guatemala,oriente,"unex guatemala, s.a.",2014,8,8.17,10,10,10,7.67,7.58,7.58,7.67,7.92,84.58
